Id,Sentences,Aspects,Polarities
es_9reinas_55_JoseMCazorlaMontero_2011-11-03,"['Tomamos Vacío y Entrañas (especialidades conocidas_ entre otras cosas_ por lo blando de su carne).', 'En algunos momentos_ nos llegamos a preguntar si lo que teníamos en la boca era carne o un trozo de neumático.', 'Decepcionante...']","['FOOD', 'RESTAURANT']","['negative', 'negative']"
es_9reinas_56_Michael_2011-09-28,"['La calidad de la comida excelente_ el servicio super amable y siempre atento.', 'El ambiente muy acogedor.', 'Una experiencia culinaria inolvidable.']","['FOOD', 'SERVICE', 'AMBIENCE', 'RESTAURANT']","['positive', 'positive', 'positive', 'positive']"
es_9reinas_58_NuriaCasas_2011-09-17,['Comida y Servicio estupendo'],"['FOOD', 'SERVICE']","['positive', 'positive']"
es_9reinas_5_MiroPietrov_2014-12-31,['Todo muy bueno'],['RESTAURANT'],['positive']
es_9reinas_61_JoseLuis_2011-07-09,"['ambiente íntimo y tranquilo_ buen trato y buena calidad en las carnes.', 'El precio un tanto elevado pero razonable.']","['AMBIENCE', 'SERVICE', 'FOOD', 'RESTAURANT', 'RESTAURANT']","['positive', 'positive', 'positive', 'neutral', 'positive']"
es_9reinas_62_LuciaLinaresSilveria_2011-06-17,"['Excelente carta_ carnes exquisitas_ especialidades riquísimas_ ambiente íntimo y servicio atento.', 'Muy buena relación calidad-precio.']","['FOOD', 'FOOD', 'AMBIENCE', 'SERVICE', 'FOOD', 'RESTAURANT']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive']"
es_9reinas_63_JorgeCiollaro_2011-05-26,['Buen servicio_ ambiente y excelente comida.'],"['SERVICE', 'AMBIENCE', 'FOOD', 'RESTAURANT']","['positive', 'positive', 'positive', 'positive']"
es_9reinas_64_Anonimo_2011-05-14,"['La comida muy rica_ pero el local extremadamente ruidoso (sobre todo el piso de arriba).', 'Llegaba un momento en que apetecía irse por el ruido.', 'Poca intimidad.', 'Quizás bueno para cenas de grupo_ pero parejas abstenerse.']","['FOOD', 'AMBIENCE', 'RESTAURANT']","['positive', 'negative', 'neutral']"
es_9reinas_67_Anonimo_2011-05-02,"['Local casi perfecto_ cocina impecable_ cantidad más que abundante_ extensa carta (comida y vinos) y precio adecuado a lo que oferta.', 'Muy recomendable_ por tanto.', 'Como salvedad_ diré que_ a excepción del jefe de sala (o propietario_ cosa que desconozco)_ atento_ educado y detallista_ el resto del servicio_ pinganillos inalámbricos incluidos_ no está a la altura del resto_ más en lo que respecta a educación y formas que a la capacidad: habría que cuidar aspectos como retirar casi a la carrera platos sin terminar_ tutear por defecto u ofrecer el silencio como toda respuesta a la duda del comensal en la elección entre dos opciones.', 'Es una pena que inviertiendo exitosamente en lo complicado (local_ materia prima_ imagen_ sitio web) se pase por alto lo básico: un par de camareros díscolos que hagan rebajar la nota de un cliente de un excelente a un notable alto.']","['AMBIENCE', 'FOOD', 'DRINKS', 'RESTAURANT', 'RESTAURANT', 'SERVICE', 'FOOD', 'RESTAURANT']","['positive', 'positive', 'positive', 'positive', 'positive', 'conflict', 'positive', 'positive']"
es_9reinas_68_EstefaniaMartinezCumplido_2011-03-24,"['Fue una cena perfecta_ por el lugar y sobre todo por la comida.', 'Tienen una carta bastante extensa donde cada plato parece mejor que el anterior.', 'Para los amantes de la carne no dudéis en pedir el Solomillo del Chef_ exquisíto.']","['AMBIENCE', 'FOOD', 'FOOD', 'RESTAURANT']","['positive', 'positive', 'positive', 'positive']"
es_barceloneta_0_Jesus_2015-09-07,"['<->Aunque los productos sean de calidad el precio es elevado', '<+>El local y su situación']","['FOOD', 'FOOD', 'RESTAURANT']","['positive', 'negative', 'conflict']"
es_barceloneta_101_Marc_2010-09-16,"['Sólo puedo decir cosas buenas de este restaurante.', 'Comimos muy bien y bien atendidos.', 'Las gambas fresquísimas.', 'Una maravilla como está decorado.', 'Muy agradable y con unas vistas increíbles.']","['RESTAURANT', 'FOOD', 'SERVICE', 'AMBIENCE']","['positive', 'positive', 'positive', 'positive']"
es_barceloneta_102_Joan_2010-05-15,['De la comida no tengo nada que decir_ pero las mesas se tocan_ el servicio no es amable_ en definitiva muy caro para lo que es calida precio totalmente desequilibrada.'],"['FOOD', 'AMBIENCE', 'SERVICE', 'RESTAURANT', 'RESTAURANT']","['neutral', 'negative', 'negative', 'negative', 'negative']"
es_barceloneta_104_Vanesa_2010-03-04,"['He ido varias veces al restaurante.', 'La comida muy buena.', 'Lo que no me gusta es el servicio.']","['FOOD', 'SERVICE', 'RESTAURANT']","['positive', 'negative', 'conflict']"
es_barceloneta_105_Fer_2009-12-04,['El último día que fuimos pedimos ostras y nos sentaron mal_ a parte de que el camarero que nos sirvió servía el cava chorreando toda la mesa...pasará mucho tiempo hasta q vuelva...'],"['SERVICE', 'FOOD', 'RESTAURANT']","['negative', 'negative', 'negative']"
es_barceloneta_107_Pedro_2009-07-29,"['Fuimos un lunes noche de julio.', 'La única sonrisa que vimos entre el personal fue de la chica que nos condujo a nuestra mesa.', 'A partir de ahi_ caras serias (por no decir de mal humor)_ distraidas_ de los camareros... que a veces se hacían esperar_ y otras veces se abalanzaban para liquidar la mesa.', 'Cubiertos mal puestos_ sin la mas mínima delicadeza.', 'Platos mal presentados_ sobrevolando las cabezas de los comensales.', 'El servicio realmente malo.', 'La comida decente_ aunque en relación al precio no estaba a la altura.', 'Lo siento_ pero no lo recomiendo en tales condiciones.', 'Saludos']","['SERVICE', 'FOOD', 'FOOD', 'RESTAURANT']","['negative', 'positive', 'negative', 'negative']"
es_barceloneta_108_Pol_2009-07-24,"['Ya no es lo que era...Ramon_ha bajado mucho_ el servicio_ la calidad de la comida_ lo unico_ la terraza.', 'Sabado pasado_ a las 13h_ poca gente_ o sea_cocina sin agobios_ paella_simplemente lamentable.', 'Es una pena_era de lo mejorcito de Barcelona']","['RESTAURANT', 'AMBIENCE', 'FOOD', 'SERVICE']","['negative', 'positive', 'positive', 'negative']"
es_barceloneta_109_Miguel_2009-06-11,"['Cena de negocio a más de 50 € pp y de primeros: longaniza de vic?', 'tal vez del Lidl; anchoas?', 'una o dos pp; de segundo bacalao a la llauna diminuto con ""secas"" de lata / carne con patatas fritas fast food.', 'por el precio podrían haber sido ""peladas y fritas""_ no?', 'en fin_ lleno de turistas que vienen una sola vez (de los cruceros?)', 'sin importarles que el cliente vuelva de nuevo por ello.', 'muy defraudado por el precio y la calidad; antes no eran así!']","['RESTAURANT', 'FOOD', 'FOOD', 'AMBIENCE', 'RESTAURANT']","['negative', 'negative', 'negative', 'negative', 'negative']"
es_barceloneta_110_MaricarmenRuesga_2009-05-25,"['Fue una cena para 4 en Sábado estaba lleno.', 'El servicio fue perfecto.', 'La cocina deliciosa.', 'A través de los años nunca me han defraudado es un valor seguro.', 'Coincido con los Datos de la ficha.', 'La relación calidad precio también es buena alrededor de 50 € por persona pero para una cena perfecta no lo considero caro.']","['SERVICE', 'FOOD', 'RESTAURANT', 'RESTAURANT']","['positive', 'positive', 'positive', 'positive']"
es_barceloneta_111_Srpoke_2009-03-15,['Arroz caldoso lamentable (para guiris_ puede estar hasta bueno) y caro en general.'],"['FOOD', 'FOOD', 'RESTAURANT']","['neutral', 'negative', 'negative']"
es_barceloneta_112_JuanAntonio_2009-03-05,"['Muy bueno_ calidad_ servicio que justifican su precio.', 'Y de vulgar nada de nada_ todo lo contrario.', 'Lo recomiendo a los que son capaces de apreciar y valorar el placer gastronómico.']","['RESTAURANT', 'FOOD', 'SERVICE']","['positive', 'positive', 'positive']"
es_barceloneta_113_Anonimo_2009-02-14,['Personalmente este restaurante_ ya por el servicio y la actitud de los camareros_ del maitrê es excelente_ creo que este restaurante se merece una estrella michelin_ ya que se come muy bien_ son unas grandes personas.'],"['SERVICE', 'RESTAURANT', 'FOOD']","['positive', 'positive', 'positive']"
es_barceloneta_114_Anonimo_2009-02-07,"['El local es bonito y la situación inmejorable.', 'Sin embargo el precio es muy alto y con el tiempo ha ido subiendo de forma espectacular sin que mejore el producto.', 'Yo no lo recomiendo.']","['AMBIENCE', 'LOCATION', 'RESTAURANT', 'RESTAURANT']","['positive', 'positive', 'negative', 'negative']"
es_barceloneta_117_Anonimo_2008-12-06,"['Caro.', 'La comida siempre bien.', 'Si te toca cerca de los ventanales vistas de lujo.']","['RESTAURANT', 'FOOD', 'AMBIENCE', 'RESTAURANT']","['negative', 'positive', 'positive', 'conflict']"
es_barceloneta_118_Olga_2008-12-01,"['Comida excelente asi como su el servicio de camarero.', 'Un tanto caótica la recepción.', 'En cuanto a la carta_ el tartar de lubina_ supremo así como sus postres.', 'Volveremos.', 'gracias']","['FOOD', 'SERVICE', 'RESTAURANT']","['positive', 'conflict', 'positive']"
es_barceloneta_11_AntonioSerranoPueyo_2015-01-15,"['Óptimo en la calidad del producto y su elaboración.', 'Servicio excelente.', 'Homogeneidad imbatible.', 'No se puede pedir más.', 'He visitado este restaurante cada vez que viajo a Barcelona y siempre ha sido excelso.', 'No puedo más que recomendarlo ya que_ sin duda_ es uno de los valores más seguros de la Ciudad Condal.']","['FOOD', 'SERVICE', 'AMBIENCE', 'RESTAURANT']","['positive', 'positive', 'positive', 'positive']"
es_barceloneta_120_Gabriela_2008-07-18,['Servicio impecable y se come de maravilla!'],"['SERVICE', 'RESTAURANT']","['positive', 'positive']"
es_barceloneta_122_Luis_2008-05-20,"['Buen reestaurante_ buena calidad en los platos.', 'El único defecto es que es muy ruidoso y en algunos lugares las mesas estan muy pegadas unas a otras y creo que por el precio que pagas  podrían tener las mesas mas separadas.']","['RESTAURANT', 'FOOD', 'AMBIENCE']","['positive', 'positive', 'negative']"
es_barceloneta_123_Isabel_2008-05-16,['Buenisima la langosta a la plancha'],['FOOD'],['positive']
es_barceloneta_126_MarcSoler_2008-04-30,"['Lugar perfecto.', 'Comida digna y servicio excelente.', 'Para ir y repetir.']","['RESTAURANT', 'FOOD', 'SERVICE']","['positive', 'positive', 'positive']"
es_barceloneta_128_MariaCantero_2008-04-01,['excelemte cocina y excelente servicio'],"['FOOD', 'SERVICE', 'RESTAURANT']","['positive', 'positive', 'positive']"
es_barceloneta_129_JoanCarles_2008-03-26,"['Es una pasada.', 'La atención y esmero del servicio y de su maitre son dignos de premio.']","['RESTAURANT', 'SERVICE']","['positive', 'positive']"
es_barceloneta_12_AntonioSerranoPueyo_2014-12-15,"['Un valor seguro.', 'Producto y cocina catalana y marinera de un muy buen nivel y servicio excelente.', 'Un restaurante muy homogéneo y que nunca defraudará.']","['RESTAURANT', 'FOOD', 'SERVICE']","['positive', 'positive', 'positive']"
es_barceloneta_130_Alvaro_2008-03-21,"['Repito cada vez que puedo_ con la familia o con la empresa.', 'La atención es exquisita y la comida (fideua_arroces y entrantes) de muy buena calidad.', 'El precio lo vale y el entorno más.']","['RESTAURANT', 'SERVICE', 'FOOD', 'RESTAURANT', 'AMBIENCE']","['positive', 'positive', 'positive', 'positive', 'positive']"
es_barceloneta_132_Fer_2008-02-11,"['Muy recomendable.', 'No es nada barato pero ofrece calidad y los platos están bien cocinados y con elementos frescos.', 'Buen ambiente_ servicio mediocre.']","['RESTAURANT', 'FOOD', 'RESTAURANT', 'AMBIENCE', 'SERVICE']","['positive', 'positive', 'negative', 'positive', 'negative']"
es_barceloneta_133_Theo_2008-02-02,['fuimos a cenar para un cumpleaños con amigos y fue fantastico_ un buen trato  y la comida excelente_ sobretodo el solomillo a los 3 quesos y la cabra caliente sobre pure de manzana...'],"['RESTAURANT', 'SERVICE', 'FOOD']","['positive', 'positive', 'positive']"
es_barceloneta_135_Pedro_2007-11-24,['Calidad/Precio :elevado _ la ubicación y el entorno muy agradable_ pero en el interior hay un exceso de ruido que hacer sentirse incómodo y no disfrutar de la comida_ sinceramente prefiero otros donde me encuentro mas agusto.'],"['LOCATION', 'AMBIENCE', 'FOOD', 'FOOD', 'RESTAURANT']","['positive', 'conflict', 'negative', 'negative', 'negative']"
es_barceloneta_137_Gema_2007-09-28,"['Un lugar magnífico para comer buen marisco y cualquiera de sus arroces o suquet_ aunque muy recomendable_ no lo recomendaría para una cena íntima romántica_ puesto que las conversaciones de las mmesas vecinas son muy animadas_ puesto que el local se presta a ello_ y el ambiente es de familias o grupos en general.', 'Servicio excelente_ vistas magníficas y excelente relación calidad-precio_ siempre teniendo en cuenta que la calidad es muy alta.', 'Más que recomendable.']","['FOOD', 'AMBIENCE', 'SERVICE', 'FOOD', 'RESTAURANT']","['positive', 'conflict', 'positive', 'positive', 'positive']"
es_barceloneta_138_Jordi_2007-09-18,"['he ido varias veces pero el sitio es para turistas y aunque la calidad es buena el precio es exagerado y el servicio deja mucho que desear_ sobretodo en cuanto a las reservas.', 'solo iré como ultimo recurso.']","['FOOD', 'RESTAURANT', 'SERVICE', 'RESTAURANT']","['positive', 'negative', 'negative', 'negative']"
es_barceloneta_139_Ana_2007-04-17,"['Me parece un lugar estupendo_ la comida está buenisima y el servicio estupendo_ dignos de admirar.', 'un lugar para ir con alguien especial(como fuí yo..)']","['RESTAURANT', 'FOOD', 'SERVICE']","['positive', 'positive', 'positive']"
es_barceloneta_13_AntonioSerranoPueyo_2014-11-21,"['Estuve de nuevo en el Restaurante Barceloneta y pude disfrutar otra vez de una comida excelente:', 'Unos entrantes magníficos: Buñuelos de Bacalao_ Revuelto de ceps con butifarra y gambas al ajillo.', 'como plato principal una Paella de pescado y marisco.', 'De postres el magnífico Tiramisú y un Queso Gallego de Tetilla con Dulce de Membrillo.', 'Para beber_ agua con gas y sin gas y una botella de Gran Vos 2007 de Viñas del Vero.', 'D.O.', 'Somontano.', 'El producto de primera_ la elaboración excelente y el servicio impecable.', 'La luz natural que entra por la vidriera de la terraza_ añadida a la decoración tan acogedora da una sensación de bienestar difícil de conseguir en otros lugares.', 'En fin_ que voy a regresar tantas veces como pueda y siempre que visite Barcelona.']","['FOOD', 'SERVICE', 'AMBIENCE', 'RESTAURANT']","['positive', 'positive', 'positive', 'positive']"
es_barceloneta_140_Santi_2006-12-29,"['Uno de mis restaurantes favoritos.', 'Como ya he leído en algún comentario_ de los pocos sitios donde se paga lo que se come_ y se come bien_ muy bien.']","['RESTAURANT', 'FOOD']","['positive', 'positive']"
es_barceloneta_142_Pachi_2006-11-16,"['Es un sitio fantástico por la buena calidad de sus productos.', 'Los arroces y suquets inmejorables.']","['RESTAURANT', 'FOOD']","['positive', 'positive']"
es_barceloneta_144_Sergio_2006-10-30,"['El local impresionante_ con una terraza preciosa con vistas al puerto.', 'El servicio_ mas que correcto.', 'La comida_ excepcional para mi gusto.', 'Los precios_ depende de lo que pidas_ puedes estar entre 40 y 60 euros por persona.', 'Destacar los arroces_ la caldereta de bogavante_ las zamburiñas al horno y los platos de ""picoteo"" y los pescados en general.']","['AMBIENCE', 'SERVICE', 'FOOD', 'RESTAURANT', 'RESTAURANT']","['positive', 'positive', 'positive', 'neutral', 'positive']"
es_barceloneta_145_Anonimo_2006-09-21,"['Inmejorable calidad.', 'Especialmente exquisitos los buñuelos de bacalao y el arroz caldoso ah y el jamón de vicio.']","['FOOD', 'RESTAURANT']","['positive', 'positive']"
es_barceloneta_147_Arturo_2006-09-16,"['Una de las mejores paellas que he comido en un restaurante en Barcelona.', 'Además tiene una terraza impresionamnte.', 'Si tienes cuidado con lo que pides puedes comer muy bien sin dejarte la cartera.', 'Del todo recomendable.']","['FOOD', 'AMBIENCE', 'FOOD', 'RESTAURANT']","['positive', 'positive', 'positive', 'positive']"
es_barceloneta_148_Ana_2006-09-10,['Posiblemente el restaurante con la mejor terraza de Barcelona_ con vistas al mar y una comida estupenda.'],"['AMBIENCE', 'FOOD', 'RESTAURANT']","['positive', 'positive', 'positive']"
es_barceloneta_149_Rosa_2006-07-22,"['Servicio bueno pero poca simpatía.', 'Arroz muy bueno pero escasa ración.', 'Los vinos carísimos.', 'Mesa interior sin vistas.', 'No repetiremos.']","['SERVICE', 'FOOD', 'FOOD', 'DRINKS', 'AMBIENCE', 'RESTAURANT']","['neutral', 'positive', 'negative', 'negative', 'negative', 'negative']"
es_barceloneta_14_HoracioPerezGarcia_2014-10-13,['Somos clientes asiduos .segir que lo bordais GRACIAS .'],['RESTAURANT'],['positive']
es_barceloneta_150_Juan_2006-07-04,['restaurante de lujo autentico_ con un pianista muy ameno que te hace pasar una cena romantica especialmente si vas acompañado de alguien especial.'],"['RESTAURANT', 'AMBIENCE']","['positive', 'positive']"
es_barceloneta_15_BrunoVergottini_2014-10-05,['muy buena paella'],"['FOOD', 'RESTAURANT']","['positive', 'positive']"
es_barceloneta_17_JoanLluisOlmoLorenzo_2014-06-29,"['Un valor seguro para comer.', 'Toda la comida muy buena y un servicio al mismo nivel.', 'La paella_ una de las mejores de la ciudad.']","['RESTAURANT', 'SERVICE', 'FOOD']","['positive', 'positive', 'positive']"
es_barceloneta_18_JoseRamonGranollersGonzalez_2014-06-21,"['Nos ha encantado.', 'Cenar en la terraza: fantastico_ el servicio: excelente_ la comida: fabulosa_ el precio: bueno_ pelín caro_ pero vale la pena.', 'Repetiremos.']","['RESTAURANT', 'AMBIENCE', 'SERVICE', 'FOOD', 'RESTAURANT']","['positive', 'positive', 'positive', 'positive', 'negative']"
es_barceloneta_1_Antonio_2015-09-06,"['<->No hay nada negativo.', '<+>La excelencia en el producto y la homogeneidad.', '<+>este restaurante siempre es excelente.', '<+>Nunca falla.', '<+>Es un valor seguro.']","['RESTAURANT', 'FOOD']","['positive', 'positive']"
es_barceloneta_24_FranciscoGarciaGallego_2013-10-27,['Como siempre_ no decepciona_ magnificos pescados_ atencion extraordinaria y vistas de Barcelona mientras almuerzas en la terraza muy bonitas'],"['RESTAURANT', 'FOOD', 'SERVICE', 'AMBIENCE']","['positive', 'positive', 'positive', 'positive']"
es_barceloneta_25_JoseOrtego_2013-10-27,"['Una comida deliciosa.', 'Excelente arroz y buen trato.', 'La localizacion es muy buena.', 'Si tienes oportunidad de comer en la terraza...un plus.']","['FOOD', 'SERVICE', 'LOCATION', 'AMBIENCE', 'RESTAURANT']","['positive', 'positive', 'positive', 'positive', 'positive']"
es_barceloneta_27_Alberto_2013-10-14,"['Gran clasico de la barceloneta con un servicio inmejorable!!!', 'Hay que repetir!!!']","['SERVICE', 'RESTAURANT']","['positive', 'positive']"
es_barceloneta_28_EsperanzaDiesteSantatala_2013-09-27,"['Excelente materia prima y fantástico marco en la terraza con vistas al Muelle de España.', 'Servicio muy amable y profesional.', 'No hay más que ver que siempre está a rebosar.', 'Sin dudarlo_ volveremos!!!']","['FOOD', 'AMBIENCE', 'SERVICE', 'RESTAURANT']","['positive', 'positive', 'positive', 'positive']"
es_barceloneta_31_RamonCanoProus_2013-09-06,"['Solicité en la reserva terraza y creo que estuve en una de las mejores mesas con terraza.', 'El servicio muy correcto tanto en atención como en educación.', 'Rapidez en la gestión del pedido y la calidad acorde al precio.', 'Quizás los postres y los vinos un poco caros.', 'Zumo naranja 6€ me parece un poco exagerado.']","['AMBIENCE', 'SERVICE', 'FOOD', 'FOOD', 'DRINKS', 'RESTAURANT']","['positive', 'positive', 'positive', 'negative', 'negative', 'positive']"
es_barceloneta_33_Jorge_2013-08-05,['comimos bien_sevicio amable_tardaron 2 plato mucho tiempo y no me gusto que aun quedando en la paella  y fideua mas racion_se la llevaron sin preguntar.'],"['SERVICE', 'RESTAURANT']","['conflict', 'positive']"
es_barceloneta_34_Charlie_2013-08-01,"['Solo puedo dar un 10 a su cocina de una calidad y frescura incomparable.', 'la única pega o sorpresa fue a la hora del café ya que me sirvieron el mismo que en el Burger King.', 'por lo demás 10.']","['FOOD', 'DRINKS', 'RESTAURANT']","['positive', 'negative', 'positive']"
es_barceloneta_37_JaumeMunozGonzalez_2013-07-01,"['El servicio y el local es muy aceptable_pero la relación calidad precio esta descompensada.se le tendría que explicar al cocinero_que el pulpo no se calienta en el microondas y menos si se le pone el pimentón y el aceite ya que se quema y reseca.', 'El resto_pasable y sin mas pretensiones pero no valía el precio que nos cobraron.']","['SERVICE', 'AMBIENCE', 'FOOD', 'RESTAURANT', 'RESTAURANT']","['positive', 'positive', 'negative', 'negative', 'neutral']"
es_barceloneta_38_JoseMariaRodriguezMartinez_2013-06-28,['muy buen servicio_ incluido aparca coches_ esta todo en el nivel de calidad excelente.'],"['SERVICE', 'FOOD', 'RESTAURANT']","['positive', 'positive', 'positive']"
es_barceloneta_39_SebastianBernasconi_2013-06-07,['El servicio desconoce la carta que además baja la calidad que solía tener.'],"['SERVICE', 'FOOD', 'RESTAURANT']","['negative', 'negative', 'negative']"
es_barceloneta_3_Chelo_2015-09-05,"['Ubicación', 'Estilo']",[],[]
es_barceloneta_42_EsperanzaDiesteSantatala_2013-05-26,"['Excelente materia prima y muy buena elaboración.', 'Servicio atento.', 'Los platos servidos en su justo momento.', 'Buena cara de vinos.', 'Local con decoración  clásica y marinera.', 'Lástima que el tiempo no acompaño para disfrutar de su agradable terraza con vistas al mar', 'Volveremos sin duda']","['FOOD', 'SERVICE', 'DRINKS', 'AMBIENCE', 'RESTAURANT']","['positive', 'positive', 'positive', 'positive', 'positive']"
